Found,quasiharmonic,mode,:,phonon
T(K),volume,F(eV),S(J/K),H(J/K),a(-6/K),Cp(J/mol),Cv,Cpion,Bt(GPa),T_ph-D(K),T-D(K),F_el_atom,S_el_atom,C_el_atom,M_el,Seebeck_coefficients(10**-6,V/K),Lorenz_number(WOK^{-2}),Q_el,Q_p,Q_e,C_mu,W_p,W_e,Y_p,Y_e
640,15.179972819713207,-4.710325201704317,44.78622028048582,-425814.1105001362,1.5851575765055453e-05,26.147195961200214,24.836762600827996,25.69520559341073,99.04343162868132,431.800624907978,380.75339261870135,-0.0014010463583186215,0.43068979587591877,0.4519903677894871,0.010304326854978207,28.570562450436018,2.598941619836103e-08,0.0155326032294924,0.00824072991235565,0.007291864099215574,0.4661838543443502,0.008926520174512065,0.0066060830549803315,0.010713097298253487,0.010713097298207883,1.86947952772533,1.7657229739684641
645,15.183585614815753,-4.712676027404791,44.9900356243869,-425685.53870038403,1.5877637339992943e-05,26.173366828704093,24.849565030048154,25.71751342214065,98.92902791698579,431.62164338310214,380.5820614992632,-0.0014237929474667382,0.43431951724846324,0.4558534065634436,0.010445949541188262,28.673101177127656,2.5994440451669853e-08,0.015662328336983413,0.008311841761848116,0.0073504773559023556,0.47026841274575165,0.009007172988296997,0.006655155348686417,0.010802490498498716,0.01080249049845374,1.8536821143201825,1.766355984404245
650,15.187205202107648,-4.715037928140911,45.19248034491269,-425556.88823087927,1.590365855730424e-05,26.19937410697635,24.86216691351884,25.73965513149716,98.81434326420015,431.44204435469516,380.4104082709393,-0.0014467332537683871,0.4379527470625168,0.459718975479192,0.010588075886331727,28.773943710807107,2.5999325657075113e-08,0.01579217467984235,0.008383029752906964,0.007409135706388419,0.4743559664682828,0.009087938513956178,0.0067042361658861726,0.010891963640820578,0.010891963640777701,1.838131167716962,1.7669882226539684
655,15.190831577345818,-4.717410835894506,45.39357422643311,-425428.16012945457,1.5929643809994445e-05,26.22522412531128,24.8745741844869,25.76163713687333,98.69937746354043,431.2618350348817,380.2384331349509,-0.0014698675122999689,0.4415894684852216,0.46358698843794893,0.010730697581603756,28.873104327898346,2.600407013417323e-08,0.015922142344462268,0.00845429351739665,0.007467839605202335,0.4784463948135403,0.00916881584077747,0.006753326503684799,0.01098151669772216,0.010981516697679708,1.822820934850892,1.767619733226696
660,15.194464737269431,-4.719794683655071,45.59333664927264,-425299.3554021499,1.595559736752923e-05,26.250922996575497,24.886792559628045,25.783465634662864,98.58413021967901,431.08102232186184,380.0661362459378,-0.0014931959575360323,0.44522966450488477,0.46745736191263076,0.010873806384586843,28.97059722429288,2.6008672424697803e-08,0.016052231405894225,0.008525632685199652,0.007526589497512675,0.4825395798911459,0.009249804061728603,0.006802427344165625,0.011071149638740445,0.011071149638697361,1.8077458415773113,1.7682505587993158
665,15.198104679586484,-4.722189405399989,45.79178660034842,-425170.4750243316,1.5981523406840742e-05,26.276476632502394,24.898827548585384,25.80514661744047,98.46860124368398,430.8996128120694,379.8935177125946,-0.001516718823334565,0.44887331795793334,0.4713300150619236,0.011017394118873293,29.06643651847996,2.6013131289883594e-08,0.01618244192793678,0.008597046884229813,0.007585385819204114,0.486635406742774,0.009330902270196574,0.006851539657740206,0.011160862430458569,0.011160862430417374,1.7929004758983351,1.7688807447413994
670,15.201751402938628,-4.724594936075129,45.98894268342032,-425041.51994178747,1.6007425928856134e-05,26.301890737018162,24.910684463031647,25.826685867181446,98.35279021081715,430.7176128130412,379.7205775993388,-0.0015404363429465074,0.4525204115551871,0.47520486983671656,0.011161452673693421,29.160636254375326,2.601744570749877e-08,0.016312773963234013,0.008668535740453297,0.0076442289969545635,0.490733763458173,0.009412109547850194,0.006900664415383818,0.011250655036519562,0.011250655036481,1.7782796051649084,1.769510328538876
675,15.205404906873333,-4.727011211575961,46.18482312904039,-424912.491071768,1.6033308872743717e-05,26.32717083359228,24.92236842528649,25.848088982512813,98.23669675828553,430.53502835493583,379.54731592763096,-0.0015643487489866636,0.45617092790820435,0.4790818510794673,0.011305974003497053,29.253210403846676,2.602161486855079e-08,0.01644322755341018,0.008740098877934371,0.007703119448323993,0.4948345412837644,0.009493424985377608,0.006949802568032571,0.011340527417666888,0.011340527417598107,1.7638781430629287,1.770139351861844
680,15.20906519183201,-4.729438168729282,46.37944580424159,-424783.38930396514,1.6059176050366085e-05,26.352322261429933,24.933884376512978,25.869361374812964,98.1203204868769,430.351865200989,379.37373267653794,-0.0015884562734668998,0.4598248495554329,0.48296088661696784,0.011450950128067967,29.344172868910558,2.60256381737275e-08,0.01657380272922944,0.008811735918855592,0.007762057581893989,0.49893763472421626,0.009574847676761864,0.006998955052467577,0.011430479531724973,0.011430479531657364,1.7496911610139496,1.7707678528133057
685,15.212732259111474,-4.731875745275196,46.57282822185242,-424654.2155014809,1.6085031153178865e-05,26.377350184085405,24.945237084510804,25.890508276739595,98.00366099570323,430.16812885900015,379.1998277845603,-0.0016127591477679206,0.4634821589882542,0.4868419073458109,0.011596373131577919,29.433537483728827,2.602951522953979e-08,0.016704499510787903,0.008883446483637876,0.007821043797339729,0.5030429416364356,0.009656376717978107,0.007048122792809794,0.011520511333742768,0.011520511333676445,1.7357138804347632,1.7713958668349294
